DAC	thr_voltage
1	0.336701384
1	0.335279881
1	0.335336731
1	0.335345817
2	0.33533938
2	0.333865445
2	0.33384443
2	0.33374769
3	0.33373815
3	0.332345056
3	0.332349137
3	0.332331215
4	0.33236237
4	0.330952871
4	0.330912793
4	0.330905471
5	0.330923111
5	0.329458919
5	0.329482037
5	0.329505917
6	0.329524804
6	0.328024657
6	0.328032643
6	0.328004979
7	0.327971972
7	0.326514842
7	0.326482778
7	0.32652657
8	0.326502713
8	0.325021678
8	0.325049661
8	0.325075862
9	0.325084735
9	0.323594752
9	0.323574721
9	0.323558787
10	0.32357174
10	0.322102122
10	0.322076159
10	0.322061351
11	0.322039297
11	0.320520966
11	0.320535505
11	0.320526103
12	0.320517758
12	0.319033029
12	0.319024401
12	0.319023858
13	0.319037087
13	0.317588578
13	0.317599197
13	0.317585328
14	0.317555524
14	0.316150996
14	0.316160478
14	0.316154393
15	0.316092392
15	0.314635042
15	0.314618563
15	0.314618654
16	0.314606093
16	0.31318412
16	0.31314942
16	0.313140831
17	0.313130318
17	0.311741355
17	0.311727154
17	0.311771547
18	0.31179005
18	0.31029372
18	0.31032444
18	0.310289003
19	0.310283944
19	0.308854202
19	0.308873324
19	0.308883138
20	0.308877768
20	0.307413215
20	0.307430615
20	0.307490994
21	0.307468408
21	0.305923877
21	0.305938848
21	0.305958769
22	0.305941102
22	0.304388835
22	0.304388996
22	0.30438909
23	0.304432617
23	0.3029662
23	0.302900665
23	0.302892165
24	0.302949853
24	0.301485005
24	0.301482965
24	0.301476112
25	0.301479794
25	0.299995614
25	0.300031615
25	0.300034835
26	0.300018232
26	0.298546428
26	0.298511342
26	0.298496573
27	0.298511418
27	0.296983365
27	0.296977958
27	0.296952077
28	0.29692839
28	0.295464248
28	0.295495465
28	0.295517886
29	0.295526381
29	0.294048614
29	0.29405242
29	0.294075081
30	0.294097634
30	0.292613467
30	0.292599025
30	0.292602612
31	0.292584688
31	0.29110888
31	0.291141114
31	0.291112917
32	0.291098525
32	0.289619733
32	0.289671943
32	0.289639123
33	0.289653905
33	0.288236557
33	0.288278453
33	0.288261414
34	0.288253712
34	0.286813877
34	0.286803445
34	0.286812075
35	0.286803753
35	0.285409
35	0.285433326
35	0.285405885
36	0.285388178
36	0.283956864
36	0.283960509
36	0.283949841
37	0.283955251
37	0.282496981
37	0.282541839
37	0.282486857
38	0.282514012
38	0.281023051
38	0.281019793
38	0.281000366
39	0.280973391
39	0.279553249
39	0.279571468
39	0.2795563
40	0.279567737
40	0.278085988
40	0.278119846
40	0.278099107
41	0.278107412
41	0.276632661
41	0.276667111
41	0.276665008
42	0.276678231
42	0.275156759
42	0.275182276
42	0.275186615
43	0.275188489
43	0.273672959
43	0.273666726
43	0.273635306
44	0.273581385
44	0.272103783
44	0.272116098
44	0.272151276
45	0.272145116
45	0.270676637
45	0.270677677
45	0.270642642
46	0.270644217
46	0.269219187
46	0.269230132
46	0.269228589
47	0.269191765
47	0.26777377
47	0.267760271
47	0.267746674
48	0.26774099
48	0.26631224
48	0.266290493
48	0.266271548
49	0.266275393
49	0.264859053
49	0.264875774
49	0.264898423
50	0.264868735
50	0.263454401
50	0.263444246
50	0.263452251
51	0.263428882
51	0.262009213
51	0.262030115
51	0.26201839
52	0.262035628
52	0.260600957
52	0.260563533
52	0.260577041
53	0.260541308
53	0.259098412
53	0.259120005
53	0.259116995
54	0.259106041
54	0.25758891
54	0.257592378
54	0.257629854
55	0.257607702
55	0.256158648
55	0.256182892
55	0.256201403
56	0.256198638
56	0.254702095
56	0.254740914
56	0.254724614
57	0.254733666
57	0.253218078
57	0.253234837
57	0.253240693
58	0.253255626
58	0.251711987
58	0.251720364
58	0.251685872
59	0.251729052
59	0.250191322
59	0.250175937
59	0.250173463
60	0.250142728
60	0.248626039
60	0.248660762
60	0.248642295
61	0.248637997
61	0.247196834
61	0.247206712
61	0.247204705
62	0.247194565
62	0.245734297
62	0.245755618
62	0.245748733
63	0.245752773
63	0.244289155
63	0.244281337
63	0.244291796
64	0.244297765
64	0.242822664
64	0.242836196
64	0.242825577
65	0.242832858
65	0.241441918
65	0.241437895
65	0.241428224
66	0.241445222
66	0.239975023
66	0.239980289
66	0.23996195
67	0.239977209
67	0.238575859
67	0.238563597
67	0.238578721
68	0.238580776
68	0.237184449
68	0.237165094
68	0.237141004
69	0.237164789
69	0.235680922
69	0.235669562
69	0.235672674
70	0.235659868
70	0.234123509
70	0.234124102
70	0.234125315
71	0.234109043
71	0.232649094
71	0.232669362
71	0.232687365
72	0.232680212
72	0.231203743
72	0.231236599
72	0.231258331
73	0.231245815
73	0.229797539
73	0.229797873
73	0.229818838
74	0.22980521
74	0.228260608
74	0.228260393
74	0.228279123
75	0.228272946
75	0.226743746
75	0.226722107
75	0.226711942
76	0.226734162
76	0.225204776
76	0.225207305
76	0.225228211
77	0.225219497
77	0.223759571
77	0.223776415
77	0.223748408
78	0.223772774
78	0.222341002
78	0.222320742
78	0.222301161
79	0.222308852
79	0.220843871
79	0.220833964
79	0.220845938
80	0.220829232
80	0.219394815
80	0.21939497
80	0.219428107
81	0.219417276
81	0.217976666
81	0.217978792
81	0.217999548
82	0.218006035
82	0.216555651
82	0.216552724
82	0.216555968
83	0.216573565
83	0.215129371
83	0.21514059
83	0.215159843
84	0.21513421
84	0.21367188
84	0.213673044
84	0.213680354
85	0.213673255
85	0.212206834
85	0.212211494
85	0.212226573
86	0.21218842
86	0.210672875
86	0.210675485
86	0.210677975
87	0.21066714
87	0.209211416
87	0.209206493
87	0.20921139
88	0.209218412
88	0.207762665
88	0.207753142
88	0.207775891
89	0.207769679
89	0.206294978
89	0.206294572
89	0.206291268
90	0.206296071
90	0.204794384
90	0.204800698
90	0.204789131
91	0.20479486
91	0.203294115
91	0.203277073
91	0.203278125
92	0.203285026
92	0.201788552
92	0.201778832
92	0.201789259
93	0.201794657
93	0.200326477
93	0.200346764
93	0.200340113
94	0.200333723
94	0.198881007
94	0.198880133
94	0.198872144
95	0.198869619
95	0.197441004
95	0.197396373
95	0.19739314
96	0.19740488
96	0.195951431
96	0.195971855
96	0.195969567
97	0.195953804
97	0.194550201
97	0.194552082
97	0.194548366
98	0.19456282
98	0.193152112
98	0.193116951
98	0.193129962
99	0.193132613
99	0.191689838
99	0.191702488
99	0.191734903
100	0.191730669
100	0.190276579
100	0.190265281
100	0.19027902
101	0.19026201
101	0.188795524
101	0.188815799
101	0.188831535
102	0.188825058
102	0.187311575
102	0.187295662
102	0.187302555
103	0.187300978
103	0.18583636
103	0.185842155
103	0.185847543
104	0.185826688
104	0.184370464
104	0.184389069
104	0.184420236
105	0.184402643
105	0.182966868
105	0.182973509
105	0.182976243
106	0.182971663
106	0.181485166
106	0.181504496
106	0.181501594
107	0.181487563
107	0.179962578
107	0.179948521
107	0.179933875
108	0.179944379
108	0.178454817
108	0.178477853
108	0.17847676
109	0.178479425
109	0.177008376
109	0.17698386
109	0.17700045
110	0.176988838
110	0.175537161
110	0.175545784
110	0.175537247
111	0.17553989
111	0.174129313
111	0.174116016
111	0.174131936
112	0.174123899
112	0.17265399
112	0.172652841
112	0.172640907
113	0.172641972
113	0.17120558
113	0.171191467
113	0.171187772
114	0.171180613
114	0.169769473
114	0.169785912
114	0.16977102
115	0.169755748
115	0.16832073
115	0.168327755
115	0.168319334
116	0.168328157
116	0.166907265
116	0.166918122
116	0.166909464
117	0.166877165
117	0.165430195
117	0.165439599
117	0.165421427
118	0.165427038
118	0.16393076
118	0.163943423
118	0.163939988
119	0.163904679
119	0.162488231
119	0.162482116
119	0.162469143
120	0.162499438
120	0.161063253
120	0.161066511
120	0.161063278
121	0.161057415
121	0.159608594
121	0.159588243
121	0.159597094
122	0.159621491
122	0.158071072
122	0.158058957
122	0.158081557
123	0.158059472
123	0.156520873
123	0.156522764
123	0.156534136
124	0.156527439
124	0.15499776
124	0.154984028
124	0.154974396
125	0.154985732
125	0.153512099
125	0.153529644
125	0.153523319
126	0.153538289
126	0.152091772
126	0.152105516
126	0.152087198
127	0.152093152
127	0.150637642
127	0.150663916
127	0.150642088
128	0.150637437
128	0.149147088
128	0.149156001
128	0.149153834
129	0.149149504
129	0.147734399
129	0.147723655
129	0.147730567
130	0.147743788
130	0.146305276
130	0.146316697
130	0.146319179
131	0.146307831
131	0.14488097
131	0.144876254
131	0.14487669
132	0.144899266
132	0.143462863
132	0.143485578
132	0.143475035
133	0.143462341
133	0.141993505
133	0.141990985
133	0.141982493
134	0.141989098
134	0.140467336
134	0.14044694
134	0.140476817
135	0.140466046
135	0.138977176
135	0.138955246
135	0.138955459
136	0.138970001
136	0.137527896
136	0.13751285
136	0.137509325
137	0.137520417
137	0.136092414
