DAC	thr_voltage
1	0.335306015
1	0.333839843
1	0.333869987
1	0.333874356
2	0.333873466
2	0.332470729
2	0.3324736
2	0.332453085
3	0.33242842
3	0.330960957
3	0.33094588
3	0.330962853
4	0.330953753
4	0.329469801
4	0.329501414
4	0.329489563
5	0.329458448
5	0.328024189
5	0.328048688
5	0.328035454
6	0.328069895
6	0.326531684
6	0.326538689
6	0.326564018
7	0.326542107
7	0.325092986
7	0.325091461
7	0.325055898
8	0.325094601
8	0.323640633
8	0.32362315
8	0.323606833
9	0.323624395
9	0.322183543
9	0.322163136
9	0.322151856
10	0.322137302
10	0.320651766
10	0.320636192
10	0.320667519
11	0.320675277
11	0.319177542
11	0.319154293
11	0.319165818
12	0.319129686
12	0.317617743
12	0.317635359
12	0.317687591
13	0.317665187
13	0.316206658
13	0.316208367
13	0.316230747
14	0.31621717
14	0.314758302
14	0.314787896
14	0.314805386
15	0.314795028
15	0.31330835
15	0.313288541
15	0.313323928
16	0.313306005
16	0.311857529
16	0.311811542
16	0.311836229
17	0.311886957
17	0.310419274
17	0.310436189
17	0.310419806
18	0.310406774
18	0.308955399
18	0.308950298
18	0.308971633
19	0.308959695
19	0.307588653
19	0.307538872
19	0.307545252
20	0.307612515
20	0.306180995
20	0.306166419
20	0.306175836
21	0.306189392
21	0.304709422
21	0.304660621
21	0.304643954
22	0.304653967
22	0.30315198
22	0.303144558
22	0.303134582
23	0.30311076
23	0.301613476
23	0.301611511
23	0.301597139
24	0.301644586
24	0.300198
24	0.300193752
24	0.300195401
25	0.300219109
25	0.298775805
25	0.298718888
25	0.298735026
26	0.298752516
26	0.297297221
26	0.29731022
26	0.297293894
27	0.297298461
27	0.295802627
27	0.295781841
27	0.29576294
28	0.295809545
28	0.294300728
28	0.294309146
28	0.294285324
29	0.294279175
29	0.292859141
29	0.292818778
29	0.292837211
30	0.292800866
30	0.291349454
30	0.291344503
30	0.291362238
31	0.291349361
31	0.289904356
31	0.289923408
31	0.289892666
32	0.289870934
32	0.288423408
32	0.288430806
32	0.288417572
33	0.288426547
33	0.287016595
33	0.287007104
33	0.287004841
34	0.287054483
34	0.285640487
34	0.285593426
34	0.285612806
35	0.285610228
35	0.284247155
35	0.284231105
35	0.284214228
36	0.284200717
36	0.28280901
36	0.282778265
36	0.282786699
37	0.282818128
37	0.281377473
37	0.281386424
37	0.281426462
38	0.281423437
38	0.27988271
38	0.279918387
38	0.279914545
39	0.279902882
39	0.278484821
39	0.278460231
39	0.278439925
40	0.278460174
40	0.277033672
40	0.277019991
40	0.277010637
41	0.276983039
41	0.275516294
41	0.275528173
41	0.275571613
42	0.27558306
