DAC	thr_voltage
1	0.343806086
1	0.342398358
1	0.342401992
1	0.342369245
2	0.342374069
2	0.340939914
2	0.340951071
2	0.340950797
3	0.340950013
3	0.339454226
3	0.339464639
3	0.339455734
4	0.339494596
4	0.33799841
4	0.338005139
4	0.338008573
5	0.338022227
5	0.336529975
5	0.336516354
5	0.336513673
6	0.336514408
6	0.335000174
6	0.335013448
6	0.335028448
7	0.334980801
7	0.333564082
7	0.33353368
7	0.333501693
8	0.333495844
8	0.332023698
8	0.332058042
8	0.332027805
9	0.332026062
9	0.330514427
9	0.330525989
9	0.330554498
10	0.330603555
10	0.329035066
10	0.329054148
10	0.329084126
11	0.329054359
11	0.327521644
11	0.327562004
11	0.327567075
12	0.327537343
12	0.32599513
12	0.326009207
12	0.325978524
13	0.325994977
13	0.324529809
13	0.324523139
13	0.324543965
14	0.324550908
14	0.323073082
14	0.323112719
14	0.323079054
15	0.323087635
15	0.321585885
15	0.321602574
15	0.321604689
16	0.321587978
16	0.320119221
16	0.320121011
16	0.32010234
17	0.320063916
17	0.318620927
17	0.318588566
17	0.318629892
18	0.318627674
18	0.317194103
18	0.317178891
18	0.317188486
19	0.317187569
19	0.315738368
19	0.315740324
19	0.315720902
20	0.315723521
20	0.314259276
20	0.314274525
20	0.314255945
21	0.314258162
21	0.312781074
21	0.312781052
21	0.312784859
22	0.312781603
22	0.311275847
22	0.311282296
22	0.31125931
23	0.311242071
23	0.309749909
23	0.309763338
23	0.309764135
24	0.309777762
24	0.308259655
24	0.308307654
24	0.308273604
25	0.308284991
25	0.306829427
25	0.30681707
25	0.306818523
26	0.306831877
26	0.305316027
26	0.305288317
26	0.305284205
27	0.30529599
27	0.303750242
27	0.303741966
27	0.303784649
28	0.303776313
28	0.302244149
28	0.302230805
28	0.302258284
29	0.302223026
29	0.300774728
29	0.300772712
29	0.300776674
30	0.300773628
30	0.299286235
30	0.299305355
30	0.299282684
31	0.299329413
31	0.297798936
31	0.297780542
31	0.297783581
32	0.297786376
32	0.296342486
32	0.296365173
32	0.29633273
33	0.296328952
33	0.294860536
33	0.294888813
33	0.294898082
34	0.29492199
34	0.29343905
34	0.293431999
34	0.293418168
35	0.293423573
35	0.292000081
35	0.291988811
35	0.291969425
36	0.2920075
36	0.290539496
36	0.29054998
36	0.290553243
37	0.290585677
37	0.289103412
37	0.289115885
37	0.289092572
38	0.289111012
38	0.287601821
38	0.287614758
38	0.287579151
39	0.287579135
39	0.286107847
39	0.286109868
39	0.286134702
40	0.286069769
40	0.284647301
40	0.284675548
40	0.2846403
41	0.284613213
41	0.283198484
41	0.283149089
41	0.283184542
42	0.283192495
42	0.281645266
42	0.281664726
42	0.281688595
43	0.281683321
43	0.280151816
43	0.280146293
43	0.280124839
44	0.280118022
44	0.278606353
44	0.278611768
44	0.278602504
45	0.278562633
45	0.277097127
45	0.277109005
45	0.277100814
46	0.277107654
46	0.275635686
46	0.275626532
46	0.275677615
47	0.275680601
47	0.274191113
47	0.274238222
47	0.274225781
48	0.274197441
48	0.272722056
48	0.272721618
48	0.272704554
49	0.272728342
49	0.27126628
49	0.271239302
49	0.27123752
