000	-3.0000	3.7500	3.6473	3.5719	3.5529	3.6425	3.6140	3.5933	3.6066	3.5653	3.5814	3.6259
001	-2.0000	4.0212	3.9169	3.8367	3.8143	3.9099	3.8799	3.8599	3.8742	3.8295	3.8457	3.8931
010	-1.0000	4.2900	4.1820	4.0987	4.0740	4.1759	4.1450	4.1226	4.1362	4.0890	4.1070	4.1569
011	0.0000	4.5637	4.4495	4.3624	4.3331	4.4424	4.4089	4.3868	4.4020	4.3517	4.3689	4.4230
100	1.0000	4.8325	4.7123	4.6219	4.5892	4.7070	4.6719	4.6470	4.6617	4.6119	4.6286	4.6874
101	2.0000	5.1050	4.9776	4.8836	4.8471	4.9707	4.9343	4.9098	4.9251	4.8719	4.8883	4.9510
110	3.0000	5.3713	5.2381	5.1423	5.1021	5.2332	5.1965	5.1687	5.1843	5.1283	5.1453	5.2114
111	4.0000	5.6413	5.5021	5.4027	5.3590	5.4961	5.4568	5.4294	5.4452	5.3868	5.4039	5.4728
