Temp [¡C]	IMON_TT [uA]	IMON_TT/4 [uA]	Iref_TT [uA]	IMON_SS [uA]	IMON_SS/4 [uA]	Iref_SS [uA]	IMON_FF [uA]	IMON_FF/4 [uA]	Iref_FF [uA]
-40.000	19.988	4.9970	5.0119	17.689	4.4222	4.4534	22.955	5.7386	5.7413
-30.000	20.007	5.0017	5.0117	17.708	4.4271	4.4529	22.968	5.7420	5.7425
-20.000	20.018	5.0044	5.0104	17.713	4.4283	4.4512	22.971	5.7428	5.7425
-10.000	20.020	5.0051	5.0080	17.726	4.4316	4.4486	22.967	5.7418	5.7412
0.0000	20.015	5.0037	5.0045	17.730	4.4324	4.4450	22.958	5.7394	5.7387
10.000	20.000	5.0001	4.9999	17.737	4.4342	4.4404	22.943	5.7358	5.7350
20.000	19.980	4.9949	4.9944	17.739	4.4348	4.4349	22.924	5.7310	5.7301
30.000	19.954	4.9884	4.9878	17.742	4.4354	4.4285	22.900	5.7250	5.7241
