BIAS	A	SCH SS	SCH TT	SCH FF	Measurement
000	1.0000	3.5850	4.0450	4.6475	3.7500
001	2.0000	3.8600	4.3575	5.0050	4.0212
010	3.0000	4.1350	4.6675	5.3625	4.2900
011	4.0000	4.4100	4.9775	5.7175	4.5637
100	5.0000	4.6825	5.2875	6.0750	4.8325
101	6.0000	4.9575	5.5975	6.4325	5.1050
110	7.0000	5.2325	5.9075	6.7875	5.3713
111	8.0000	5.5075	6.2175	7.1475	5.6413
